Algorithm 1	Algorithm 2	Alpha	K-Value	A2A Score	CVG (1 -> 2)	CVG (2 -> 1)
ARC	WCA	0.2	23	84.27299703	0	0
ARC	Limbo	0.2	23	82.34421365	0.043478261	0.043478261
ARC	ACDC	0.2	23	81.98473282	0	0
ARC	WCA	0.4	23	85.3115727	0	0
ARC	Limbo	0.4	23	83.53115727	0.043478261	0.043478261
ARC	ACDC	0.4	23	79.69465649	0.043478261	0.25
ARC	WCA	0.6	23	85.3115727	0	0
ARC	Limbo	0.6	23	84.12462908	0	0
ARC	ACDC	0.6	23	82.44274809	0.043478261	0.25
ARC	WCA	0.8	23	85.3115727	0	0
ARC	Limbo	0.8	23	84.12462908	0	0
ARC	ACDC	0.8	23	82.44274809	0.043478261	0.25
WCA	Limbo	N/A	24	81.80473373	0.041666667	0.041666667
WCA	ACDC	N/A	24	87.80487805	0.041666667	0.25
Limbo	ACDC	N/A	24	79.42073171	0	0
ARC	WCA	0.2	24	84.46745562	0	0
ARC	Limbo	0.2	24	82.3964497	0.041666667	0.041666667
ARC	ACDC	0.2	24	81.8597561	0	0
ARC	WCA	0.4	24	81.95266272	0	0
ARC	Limbo	0.4	24	83.72781065	0.041666667	0.041666667
ARC	ACDC	0.4	24	81.09756098	0.041666667	0.25
ARC	WCA	0.6	24	85.0591716	0	0
ARC	Limbo	0.6	24	84.46745562	0.041666667	0.041666667
ARC	ACDC	0.6	24	82.01219512	0.041666667	0.25
ARC	WCA	0.8	24	85.0591716	0	0
ARC	Limbo	0.8	24	84.46745562	0.041666667	0.041666667
ARC	ACDC	0.8	24	82.01219512	0.041666667	0.25
WCA	Limbo	N/A	25	81.85840708	0.04	0.04
WCA	ACDC	N/A	25	87.67123288	0.04	0.25
Limbo	ACDC	N/A	25	79.29984779	0	0
ARC	WCA	0.2	25	84.66076696	0.04	0.04
ARC	Limbo	0.2	25	82.44837758	0.04	0.04
ARC	ACDC	0.2	25	81.73515982	0	0
ARC	WCA	0.4	25	82.15339233	0	0
ARC	Limbo	0.4	25	83.92330383	0.04	0.04
ARC	ACDC	0.4	25	80.97412481	0.04	0.25
ARC	WCA	0.6	25	85.39823009	0	0
ARC	Limbo	0.6	25	83.62831858	0.04	0.04
ARC	ACDC	0.6	25	79.6042618	0.04	0.25
