Algorithm 1,Algorithm 2,Alpha,K-Value,A2A Score,CVG (1 -> 2),CVG (2 -> 1)
ARC,WCA,0.4,26,82.35294117647058,0.0,0.0
ARC,Limbo,0.4,26,83.38235294117648,0.038461538461538464,0.038461538461538464
ARC,ACDC,0.4,26,80.3951367781155,0.038461538461538464,0.25
ARC,WCA,0.6,26,85.44117647058823,0.0,0.0
ARC,Limbo,0.6,26,83.67647058823529,0.038461538461538464,0.038461538461538464
ARC,ACDC,0.6,26,79.33130699088146,0.038461538461538464,0.25
ARC,WCA,0.8,26,85.44117647058823,0.0,0.0
ARC,Limbo,0.8,26,83.67647058823529,0.038461538461538464,0.038461538461538464
ARC,ACDC,0.8,26,79.33130699088146,0.038461538461538464,0.25
WCA,Limbo,N/A,27,81.96480938416421,0.037037037037037035,0.037037037037037035
WCA,ACDC,N/A,27,87.10166919575114,0.037037037037037035,0.25
Limbo,ACDC,N/A,27,79.05918057663126,0.0,0.0
ARC,WCA,0.2,27,84.89736070381232,0.037037037037037035,0.037037037037037035
ARC,Limbo,0.2,27,82.55131964809384,0.037037037037037035,0.037037037037037035
ARC,ACDC,0.2,27,81.48710166919575,0.0,0.0
ARC,WCA,0.4,27,82.55131964809384,0.0,0.0
ARC,Limbo,0.4,27,82.99120234604106,0.037037037037037035,0.037037037037037035
ARC,ACDC,0.4,27,80.2731411229135,0.037037037037037035,0.25
ARC,WCA,0.6,27,82.11143695014663,0.0,0.0
ARC,Limbo,0.6,27,84.1642228739003,0.037037037037037035,0.037037037037037035
ARC,ACDC,0.6,27,80.57663125948406,0.037037037037037035,0.25
ARC,WCA,0.8,27,82.11143695014663,0.0,0.0
ARC,Limbo,0.8,27,84.1642228739003,0.037037037037037035,0.037037037037037035
ARC,ACDC,0.8,27,80.57663125948406,0.037037037037037035,0.25
WCA,Limbo,N/A,28,82.01754385964912,0.03571428571428571,0.03571428571428571
WCA,ACDC,N/A,28,86.81818181818181,0.03571428571428571,0.25
Limbo,ACDC,N/A,28,78.93939393939394,0.0,0.0
ARC,WCA,0.2,28,84.21052631578947,0.03571428571428571,0.03571428571428571
ARC,Limbo,0.2,28,82.7485380116959,0.0,0.0
ARC,ACDC,0.2,28,80.3030303030303,0.0,0.0
ARC,WCA,0.4,28,82.7485380116959,0.0,0.0
ARC,Limbo,0.4,28,82.89473684210526,0.0,0.0
ARC,ACDC,0.4,28,80.15151515151516,0.03571428571428571,0.25
ARC,WCA,0.6,28,82.30994152046783,0.0,0.0
ARC,Limbo,0.6,28,84.06432748538012,0.0,0.0
ARC,ACDC,0.6,28,80.45454545454545,0.03571428571428571,0.25
ARC,WCA,0.8,28,82.30994152046783,0.0,0.0
ARC,Limbo,0.8,28,84.06432748538012,0.0,0.0
ARC,ACDC,0.8,28,80.45454545454545,0.03571428571428571,0.25
WCA,Limbo,N/A,29,82.06997084548104,0.034482758620689655,0.034482758620689655
WCA,ACDC,N/A,29,86.535552193646,0.034482758620689655,0.25
Limbo,ACDC,N/A,29,78.81996974281392,0.0,0.0
ARC,WCA,0.2,29,84.40233236151605,0.034482758620689655,0.034482758620689655
ARC,Limbo,0.2,29,82.79883381924198,0.0,0.0
ARC,ACDC,0.2,29,80.18154311649018,0.0,0.0
ARC,WCA,0.4,29,82.79883381924198,0.0,0.0
ARC,Limbo,0.4,29,83.09037900874637,0.0,0.0
ARC,ACDC,0.4,29,80.0302571860817,0.034482758620689655,0.25
ARC,WCA,0.6,29,82.5072886297376,0.0,0.0
ARC,Limbo,0.6,29,83.6734693877551,0.0,0.0
ARC,ACDC,0.6,29,79.87897125567322,0.034482758620689655,0.25
ARC,WCA,0.8,29,82.5072886297376,0.0,0.0
ARC,Limbo,0.8,29,83.6734693877551,0.0,0.0
ARC,ACDC,0.8,29,79.87897125567322,0.034482758620689655,0.25
WCA,Limbo,N/A,30,82.12209302325581,0.03333333333333333,0.03333333333333333
WCA,ACDC,N/A,30,86.25377643504531,0.03333333333333333,0.25
Limbo,ACDC,N/A,30,78.70090634441087,0.0,0.0
